location,sublocation,coast_length_km,people,buildings,economic,total_value
Florida,Martin,37,16,2238526,1091418,3329943
Florida,Palm Beach,75,880,55754565,62134096,117888660
Florida,Broward,39,524,52079420,48231281,100310701
Florida,Miami-Dade,61,717,43593640,51831864,95425504
Florida,Upper Keys,67,38,3611296,3867300,7478596
Florida,Middle Keys,47,5,2407644,351702,2759347
Florida,Lower Keys,54,69,1433639,5751287,7184926
Puerto Rico,San Juan,40,243,4097860,11528794,15626654
Puerto Rico,Vega Baja,44,88,3787127,3252428,7039556
Puerto Rico,Arecibo,49,171,2568499,6388837,8957336
Puerto Rico,Aquadilla,69,218,5102887,8084154,13187041
Puerto Rico,Mayaguez,69,90,1274119,3570813,4844932
Puerto Rico,Ponce,66,36,227132,1357931,1585063
Puerto Rico,Guayama,64,34,664511,1254889,1919400
Puerto Rico,Humacao,54,11,135043,425074,560116
Puerto Rico,Ceiba,75,30,1032959,1106347,2139306
Puerto Rico,Culebra,26,1,37643,43105,80748
Puerto Rico,Vieques,70,1,39270,51965,91235
